City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kaitangata,-46.2817,169.8464,68.94,72,18,5.95,NZ,1643585904
1,rikitea,-23.1203,-134.9692,77.11,71,100,5.77,PF,1643585904
2,lorengau,-2.0226,147.2712,79.72,83,100,12.48,PG,1643585839
3,busselton,-33.65,115.3333,66.09,57,93,19.69,AU,1643585905
4,klaksvik,62.2266,-6.589,36.52,54,99,40.24,FO,1643585905
5,arraial do cabo,-22.9661,-42.0278,74.23,92,94,6.76,BR,1643585905
6,okha,53.5739,142.9478,10.36,93,100,21.23,RU,1643585906
7,martapura,-3.4167,114.85,77.09,88,100,4.61,ID,1643585609
8,necochea,-38.5473,-58.7368,65.03,64,81,22.64,AR,1643585907
9,codrington,-38.2667,141.9667,77.34,62,51,0.56,AU,1643585907
10,butaritari,3.0707,172.7902,82.04,76,28,20.92,KI,1643585908
11,airai,-8.9266,125.4092,66.16,77,87,4.74,TL,1643585908
12,villarrica,-25.75,-56.4333,81.12,42,17,5.23,PY,1643585909
13,jalu,29.0331,21.5482,54.34,59,82,13.91,LY,1643585909
14,tuktoyaktuk,69.4541,-133.0374,-0.4,78,100,20.71,CA,1643585910
15,qaanaaq,77.484,-69.3632,-7.42,68,100,6.53,GL,1643585910
16,naze,28.3667,129.4833,50.92,62,94,18.59,JP,1643585910
17,gimli,50.6336,-96.9907,14.13,73,99,11.5,CA,1643585911
18,vestmannaeyjar,63.4427,-20.2734,31.77,63,100,36.86,IS,1643585911
19,bengkulu,-3.8004,102.2655,75.85,88,97,4.83,ID,1643585912
20,evensk,61.95,159.2333,20.84,80,100,22.06,RU,1643585912
21,lerwick,60.1545,-1.1494,37.4,97,100,6.76,GB,1643585912
22,pareora,-44.4871,171.2132,75.18,65,2,13.85,NZ,1643585913
23,margate,51.3813,1.3862,46.11,80,90,7.0,GB,1643585914
24,punta arenas,-53.15,-70.9167,50.11,57,75,26.46,CL,1643585914
25,upernavik,72.7868,-56.1549,-4.59,97,100,2.73,GL,1643585915
26,matai,-8.3,31.5167,57.43,98,100,0.98,TZ,1643585916
27,vaini,-21.2,-175.2,80.83,73,100,10.65,TO,1643585916
28,cape town,-33.9258,18.4232,72.12,78,0,3.0,ZA,1643585888
29,port alfred,-33.5906,26.891,73.15,90,98,16.35,ZA,1643585917
30,pisco,-13.7,-76.2167,73.45,73,75,3.44,PE,1643585917
31,pevek,69.7008,170.3133,-16.64,99,96,1.57,RU,1643585837
32,pochutla,15.7432,-96.4661,84.02,64,0,5.12,MX,1643585918
33,georgetown,5.4112,100.3354,79.9,90,20,5.01,MY,1643585918
34,hermanus,-34.4187,19.2345,71.91,85,96,13.49,ZA,1643585918
35,dikson,73.5069,80.5464,-5.21,94,100,22.3,RU,1643585919
36,port hawkesbury,45.6169,-61.3485,25.88,75,0,5.01,CA,1643585690
37,magole,-6.3667,37.3667,70.9,99,100,1.1,TZ,1643585919
